_id,barcode,category,categoryCode,cpg,name,topBrand
{'$oid': '5fa1c567be37ce402c4618f1'},511111317203,Baking,BAKING,5fa1c567be37ce402c4618ef,test brand @1604437351617,False
{'$oid': '5a5d1e76e4b0db471c2d0425'},511111900337,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Herman Joseph's,
{'$oid': '55b630d9e4b0d8e685c1421f'},511111302629,,,55b62995e4b0d8e685c14213,Sundrop,
{'$oid': '5d602d9d6d5f3b23d1bc7907'},511111704935,Beverages,,5332f5fbe4b03c9a25efd0ba,Kevita Sparkling Drinks,
{'$oid': '57ebbf75e4b0ac389136a32f'},511111902188,Frozen,,559c2234e4b06aca36af13c6,Delimex,False
{'$oid': '5d2f68d96d5f3b107e208da4'},511111004844,Personal Care,,5332f5f6e4b03c9a25efd0b4,THE RIGHT TO SHOWER,
{'$oid': '592486bde410d61fcea3d124'},511111100904,Personal Care,,5332f5f6e4b03c9a25efd0b4,CARESS,False
{'$oid': '5f16f536be37ce2b30061e27'},511111115083,Baking,BAKING,5f16f535be37ce2b30061e24,test brand @1595340086044,
{'$oid': '5332f6ede4b03c9a25efd0e5'},511111603870,,,5332f6ede4b03c9a25efd0e6,Blue Bunny,
{'$oid': '5332fa05e4b03c9a25efd1d6'},511111103141,,,5332f5f2e4b03c9a25efd0aa,Krave,
{'$oid': '5f3d6f44be37ce4ddbb1bb3e'},511111315513,Baking,BAKING,5f3d6f44be37ce4ddbb1bb3a,test brand @1597861700968,
{'$oid': '5c76d3cd95144c5375687b4f'},511111106876,Grocery,,5c76d20595144c5375687b4e,DASH-2249 Brand1,True
{'$oid': '5f3ff223be37ce1c81aa1e11'},511111115649,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1598026275245,
{'$oid': '5a8c36dbe4b0ccf165fac9e9'},511111204206,Canned Goods & Soups,,5a734034e4b0d58f376be874,Swanson,False
{'$oid': '55b630e1e4b0d8e685c14220'},511111102618,,,55b62995e4b0d8e685c14213,A&W Rootbeer,
{'$oid': '5f3ff222be37ce1c81aa1e0f'},511111415626,Baking,BAKING,5f3ff222be37ce1c81aa1e0c,test brand @1598026274668,
{'$oid': '5c76db7295144c5375687b50'},511111306887,Frozen,,5c76d20595144c5375687b4e,DASH-2249 Brand2,False
{'$oid': '5da609991dda2c3e1416ae90'},511111805854,Health & Wellness,,53e10d6368abd3c7065097cc,ONE A DAY® WOMENS,False
{'$oid': '5afda575e4b0c11cfecd49f9'},511111104537,Snacks,,5a734034e4b0d58f376be874,Kettle Brand,False
{'$oid': '5ab154dde4b0915382df761f'},511111404392,Canned Goods & Soups,,5a734034e4b0d58f376be874,Campbell's Soup at Hand,False
{'$oid': '5f3e9195be37ce5a0e01b960'},511111615583,Baking,BAKING,5f3e9195be37ce5a0e01b95f,test brand @1597936021514,
{'$oid': '5fb82faebe37ce522e165ce9'},511111117841,Grocery,GROCERY,5fb6b608be37ce522e165cb9,Rainbo,False
{'$oid': '57e58157e4b0ac389136a30a'},511111602279,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Crispin Cider Company,False
{'$oid': '5fd3acb6be37ce0d9386bb41'},511111318194,Baking,BAKING,5fd3acb5be37ce0d9386bb3e,test brand @1607707830137,False
{'$oid': '5e90a545ee7f2d70340f40d7'},511111114413,Health & Wellness,HEALTHY_AND_WELLNESS,5d9b4f591dda2c6225a284aa,Claritin®,False
{'$oid': '5daf5e94a60b87376833e362'},511111706045,Breakfast & Cereal,,5332f5f3e4b03c9a25efd0ae,Cookie Crisp™,
{'$oid': '5fb2852cbe37ce522e165caf'},511111717317,Baking,BAKING,5fb2852cbe37ce522e165cae,test brand @1605535020441,False
{'$oid': '5332f743e4b03c9a25efd109'},511111903789,Snacks,,5332f5f2e4b03c9a25efd0aa,Keebler,
{'$oid': '5fa98944be37ce239d107100'},511111417262,Baking,BAKING,5fa98944be37ce239d1070ff,test brand @1604946244750,False
{'$oid': '5afda65de4b0c11cfecd49fb'},511111004561,Snacks,,5a734034e4b0d58f376be874,SNYDERS OF HANOVER,False
{'$oid': '5332fa7ee4b03c9a25efd230'},511111702894,,,5332f5ebe4b03c9a25efd0a8,Powerade,
{'$oid': '57ebbfafe4b0ac389136a332'},511111002154,Condiments & Sauces,,559c2234e4b06aca36af13c6,Good Seasons,False
{'$oid': '5f493682be37ce52f8314fce'},511111115922,Baking,BAKING,5f493682be37ce52f8314fcb,test brand @1598633602279,
{'$oid': '57ace91ae4b057c992a316ac'},511111602552,,,57ace90fe4b057c992a316ab,Pizza Pizza Pizza,
